merchant_id,merchant_name,segment,monthly_volume_band,currency,effective_from,effective_to,fee_basis,rate_percent,flat_fee,min_fee,cap_fee,tier_threshold_count,tier_rate_percent
MER-0001,Chegutu Textiles Group,ECOMMERCE,5K_50K,ZWG,2025-07-01,,PERCENT_WITH_CAP,0.99,,1.78,78.73,,
MER-0002,Plumtree Holdings Group,NGO,UNDER_500,USD,2025-07-01,,FLAT_PERCENT,0.986,,0.092,,,
MER-0002,Plumtree Holdings Group,NGO,UNDER_500,ZWG,2025-07-01,,PERCENT_WITH_CAP,0.935,,1.1,108.33,,
MER-0003,Mopane Mobility Limitedâ€™s,ECOMMERCE,500_5K,USD,2025-07-01,2026-03-31,FLAT_PERCENT,0.661,,0.095,,,
MER-0003,Mopane Mobility Limitedâ€™s,ECOMMERCE,500_5K,USD,2026-04-01,,FLAT_PERCENT,0.531,,0.095,,,
MER-0004,  Highfield Holdings Group   ,TELCO,UNDER_500,ZWG,2025-07-01,,TIERED_PERCENT,1.191,,2.16,,25000,0.892
MER-0005,Norton Agri Co-operative,INSURANCE,UNDER_500,USD,2025-07-01,,FLAT_FEE,,0.347,0.021,,,
MER-0006,Mutare Energy Limited,ECOMMERCE,500_5K,USD,2025-07-01,,PERCENT_WITH_CAP,0.678,,0.083,3.45,,
MER-0007,Kariba Energy Trust,NGO,5K_50K,USD,2025-07-01,,TIERED_PERCENT,0.983,,0.09,,25000,0.665
MER-0007,Kariba Energy Trust,NGO,5K_50K,ZWG,2025-07-01,,FLAT_PERCENT,1.56,,0.79,,,
MER-0008,Gwanda Logistics Enterprises,UTILITY,UNDER_500,USD,2025-07-01,2026-03-31,TIERED_PERCENT,0.765,,0.044,,2000,0.648
MER-0008,Gwanda Logistics Enterprises,UTILITY,UNDER_500,USD,2026-04-01,,TIERED_PERCENT,0.577,,0.044,,2000,0.553
MER-0009,Banket Holdings (Pvt) Ltd,TRANSPORT,500_5K,USD,2025-07-01,,FLAT_PERCENT,1.113,,0.036,,,
MER-0009,Banket Holdings (Pvt) Ltd,TRANSPORT,500_5K,ZWG,2025-07-01,,PERCENT_WITH_CAP,0.686,,1.09,99.05,,
MER-0010,Sable Health Enterprises,EDUCATION,5K_50K,USD,2025-07-01,,TIERED_PERCENT,1.091,,0.099,,12000,0.697
MER-0011,Bvumba Hardware Limited,INSURANCE,OVER_50K,USD,2025-07-01,,TIERED_PERCENT,0.829,,0.055,,5000,0.701
MER-0012,Gwanda Textiles Group,GAMING,5K_50K,USD,2025-07-01,,FLAT_PERCENT,0.742,,0.049,,,
MER-0013,Marondera Motors Enterprises,UTILITY,5K_50K,USD,2025-07-01,,PERCENT_WITH_CAP,0.941,,0.064,1.94,,
MER-0014,Simuka Traders Co-operative,INSURANCE,OVER_50K,USD,2025-07-01,,FLAT_PERCENT,1.002,,0.083,,,
MER-0015,Highfield Water (Pvt) Ltd,ECOMMERCE,OVER_50K,USD,2025-07-01,,FLAT_PERCENT,0.826,,0.025,,,
MER-0016,Binga Logistics Co-operative,TRANSPORT,500_5K,USD,2025-07-01,,PERCENT_WITH_CAP,1.373,,0.089,3.37,,
MER-0017,Chitungwiza Media Group,RETAIL,UNDER_500,USD,2025-07-01,,FLAT_PERCENT,1.093,,0.084,,,
MER-0017,Chitungwiza Media Group,RETAIL,UNDER_500,ZWG,2025-07-01,,PERCENT_WITH_CAP,1.524,,0.62,72.25,,
MER-0018,Sable Foods Limited,UTILITY,5K_50K,USD,2025-07-01,2026-03-31,FLAT_PERCENT,0.674,,0.039,,,
MER-0018,Sable Foods Limited,UTILITY,5K_50K,USD,2026-04-01,,FLAT_PERCENT,0.51,,0.039,,,
MER-0018,Sable Foods Limited,UTILITY,5K_50K,ZWG,2025-07-01,2026-03-31,FLAT_PERCENT,1.185,,1.62,,,
MER-0018,Sable Foods Limited,UTILITY,5K_50K,ZWG,2026-04-01,,FLAT_PERCENT,0.985,,1.62,,,
MER-0019,Kadoma Textiles Enterprises,ECOMMERCE,5K_50K,USD,2025-07-01,,PERCENT_WITH_CAP,0.938,,0.036,3.52,,
MER-0020,Zambuko Assurance Enterprises,RETAIL,5K_50K,USD,2025-07-01,2026-03-31,PERCENT_WITH_CAP,1.077,,0.058,2.39,,
MER-0020,Zambuko Assurance Enterprises,RETAIL,5K_50K,USD,2026-04-01,,PERCENT_WITH_CAP,0.828,,0.058,2.39,,
MER-0020,Zambuko Assurance Enterprises,RETAIL,5K_50K,ZWG,2025-07-01,2026-03-31,TIERED_PERCENT,0.794,,1.73,,12000,0.559
MER-0020,Zambuko Assurance Enterprises,RETAIL,5K_50K,ZWG,2026-04-01,,TIERED_PERCENT,0.637,,1.73,,12000,0.495
MER-0021,Binga Health Group,INSURANCE,5K_50K,USD,2025-07-01,,FLAT_PERCENT,1.276,,0.026,,,
MER-0022,Zvishavane Media (Pvt) Ltd,INSURANCE,5K_50K,USD,2025-07-01,,TIERED_PERCENT,1.181,,0.023,,2000,0.889
MER-0023,Chiedza Health Trust,RETAIL,500_5K,USD,2025-07-01,2026-03-31,FLAT_PERCENT,1.079,,0.047,,,
MER-0023,Chiedza Health Trust,RETAIL,500_5K,USD,2026-04-01,,FLAT_PERCENT,0.952,,0.047,,,
MER-0024,'Matopo Pharmacy (Pvt) Ltd,NGO,OVER_50K,USD,2025-07-01,2026-03-31,FLAT_PERCENT,0.766,,0.088,,,
MER-0024,'Matopo Pharmacy (Pvt) Ltd,NGO,OVER_50K,USD,2026-04-01,,FLAT_PERCENT,0.682,,0.088,,,
MER-0025,Nyati Energy Group,RETAIL,5K_50K,USD,2025-07-01,,PERCENT_WITH_CAP,0.95,,0.086,1.57,,
MER-0026,Chivhu Agri Limitedâ€™s,EDUCATION,UNDER_500,USD,2025-07-01,,TIERED_PERCENT,1.055,,0.086,,5000,0.721
MER-0027,Mopane Textiles (Pvt) Ltd,UTILITY,5K_50K,USD,2025-07-01,,FLAT_FEE,,0.268,0.076,,,
MER-0027,Mopane Textiles (Pvt) Ltd,UTILITY,5K_50K,ZWG,2025-07-01,,TIERED_PERCENT,1.206,,1.35,,12000,0.84
MER-0028,Hwange Logistics (Pvt) Ltd,UTILITY,5K_50K,USD,2025-07-01,,TIERED_PERCENT,1.353,,0.082,,2000,0.897
MER-0028,Hwange Logistics (Pvt) Ltd,UTILITY,5K_50K,ZWG,2025-07-01,,FLAT_PERCENT,0.672,,0.96,,,
MER-0029,Rusape Hardware Enterprises,ECOMMERCE,500_5K,ZWG,2025-07-01,2026-03-31,FLAT_FEE,,5.02,2.1,,,
MER-0029,Rusape Hardware Enterprises,ECOMMERCE,500_5K,ZWG,2026-04-01,,FLAT_FEE,,5.02,2.1,,,
MER-0030,Marondera Fibre Limited,TELCO,OVER_50K,USD,2025-07-01,,PERCENT_WITH_CAP,1.161,,0.083,2.02,,
MER-0031,Norton Pharmacy Group,TELCO,OVER_50K,USD,2025-07-01,,FLAT_PERCENT,0.942,,0.032,,,
MER-0031,Norton Pharmacy Group,TELCO,OVER_50K,ZWG,2025-07-01,,TIERED_PERCENT,1.474,,2.36,,2000,1.119
MER-0032,Matopo Holdings Group,TRANSPORT,5K_50K,USD,2025-07-01,2026-03-31,TIERED_PERCENT,1.23,,0.032,,12000,1.013
MER-0032,Matopo Holdings Group,TRANSPORT,5K_50K,USD,2026-04-01,,TIERED_PERCENT,0.903,,0.032,,12000,0.937
MER-0032,Matopo Holdings Group,TRANSPORT,5K_50K,ZWG,2025-07-01,2026-03-31,FLAT_FEE,,3.72,1.83,,,
MER-0032,Matopo Holdings Group,TRANSPORT,5K_50K,ZWG,2026-04-01,,FLAT_FEE,,3.72,1.83,,,
MER-0033,Norton Traders Trust,UTILITY,5K_50K,USD,2025-07-01,,FLAT_PERCENT,0.905,,0.078,,,
MER-0034,  Gutu Health Trust   ,TRANSPORT,500_5K,USD,2025-07-01,,PERCENT_WITH_CAP,0.798,,0.038,2.69,,
MER-0034,  Gutu Health Trust   ,TRANSPORT,500_5K,ZWG,2025-07-01,,FLAT_FEE,,2.21,1.6,,,
MER-0035,Kopano Clinic (Pvt) Ltd,TELCO,UNDER_500,USD,2025-07-01,,FLAT_PERCENT,1.466,,0.035,,,
MER-0036,Rusape Agri Group,NGO,UNDER_500,USD,2025-07-01,,FLAT_PERCENT,0.939,,0.048,,,
MER-0036,Rusape Agri Group,NGO,UNDER_500,ZWG,2025-07-01,,TIERED_PERCENT,0.655,,0.92,,25000,0.424
MER-0037,Ruwa Fibre (Pvt) Ltd,RETAIL,UNDER_500,USD,2025-07-01,,FLAT_PERCENT,0.952,,0.04,,,
MER-0037,Ruwa Fibre (Pvt) Ltd,RETAIL,UNDER_500,ZWG,2025-07-01,,PERCENT_WITH_CAP,1.07,,1.28,85.9,,
MER-0038,Kadoma Academy Trust,GAMING,OVER_50K,USD,2025-07-01,,FLAT_PERCENT,1.174,,0.054,,,
MER-0039,Gwanda Traders Co-operative,GAMING,5K_50K,ZWG,2025-07-01,,PERCENT_WITH_CAP,0.89,,1.47,54.81,,
MER-0040,  Matopo Water Enterprises   ,GAMING,5K_50K,ZWG,2025-07-01,,PERCENT_WITH_CAP,0.938,,0.68,54.17,,
