ticket_id,merchant_id,opened_at,channel,subject,body,status,txn_ref
TK-100001,MER-0018,2026-03-25 15:22:00,email,Payment declined repeatedly,"A customer tried to pay 73.11 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100083325. Please reverse or confirm.",pending_merchant,PN100083325
TK-100002,MER-0035,2026-04-01 16:31:00,email,Where is our payout for 01 Apr?,"Hie, kindly confirm status of our settlement. Amount expected is around 3.38. Ref PN100131736.",open,PN100131736
TK-100003,MER-0012,2026-03-17 18:02:00,email,Customer payment failed but was debited,We are seeing a lot of declines this afternoon on mobile money. Ref PN100047950 is one example. Is there a problem on the rail side or is it us?,resolved,PN100047950
TK-100004,MER-0024,2026-03-01 18:39:00,email,Transaction PN100036187 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100036187. They are in the shop now and refusing to pay again.,resolved,PN100036187
TK-100005,MER-0013,2026-04-28 11:14:00,whatsapp,Customer double charged,"We need to refund 17.24 on PN100151962, the goods were returned. What is the process and how long does it take to reflect?",closed,PN100151962
TK-100006,MER-0052,2026-04-30 15:52:00,portal,Where is our payout for 30 Apr?,"We have not received settlement for 30 Apr 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",closed,PN100010419
TK-100007,MER-0005,2026-03-22 13:30:00,email,Transaction n/a failed on checkout,We are seeing a lot of declines this afternoon on mobile money. Ref not recorded is one example. Is there a problem on the rail side or is it us?,resolved,
TK-100008,MER-0032,2026-03-19 12:45:00,portal,Change of bank account details,We are changing our settlement bank. What documents do you need from us?,closed,
TK-100009,MER-0054,2026-04-18 11:25:00,email,Refund request for PN100059913,"Customer was charged twice for the same order. Please reverse one of them. Ref PN100059913, amount 6.87. She has been calling since yesterday.",closed,PN100059913
TK-100010,MER-0042,2026-03-18 12:34:00,email,Fee does not match our agreement,Can you send a breakdown of fees for the period? We need it for our audit and the summary figure alone is not enough.,closed,
TK-100011,MER-0002,2026-03-13 08:43:00,email,Customer double charged,"Customer was charged twice for the same order. Please reverse one of them. Ref PN100141032, amount 10.07. She has been calling since yesterday.",resolved,PN100141032
TK-100012,MER-0040,2026-04-29 12:53:00,portal,Transaction n/a failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. not recorded. They are in the shop now and refusing to pay again.,closed,
TK-100013,MER-0013,2026-03-11 08:08:00,email,Callback not firing on our staging environment,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",open,PN100064033
TK-100014,MER-0053,2026-04-15 15:16:00,email,Query on fees charged this month,Our finance team has reviewed the statement and the fee charged looks higher than the rate we agreed in the addendum. We understood the new rate applies from April. Please clarify.,closed,
TK-100015,MER-0042,2026-04-05 14:08:00,portal,Where is our payout for 05 Apr?,"Hie, kindly confirm status of our settlement. Amount expected is around n/a. Ref not recorded.",open,
TK-100016,MER-0006,2026-03-29 12:12:00,portal,Settlement not received for 29 Mar,"We have not received settlement for 29 Mar 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",resolved,PN100013345
TK-100017,MER-0022,2026-04-21 13:20:00,whatsapp,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is PN100111664. Can you block that payer and advise on next steps?",open,PN100111664
TK-100018,MER-0009,2026-04-29 10:41:00,portal,Callback not firing on our staging environment,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",resolved,PN100080159
TK-100019,MER-0008,2026-04-09 08:49:00,phone,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is not recorded. Can you block that payer and advise on next steps?",resolved,
TK-100020,MER-0028,2026-04-16 12:19:00,whatsapp,Transaction PN100135918 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100135918. They are in the shop now and refusing to pay again.,pending_merchant,PN100135918
TK-100021,MER-0051,2026-04-27 13:42:00,email,Request for fee breakdown,Can you send a breakdown of fees for the period? We need it for our audit and the summary figure alone is not enough.,pending_merchant,PN100127097
TK-100022,MER-0011,2026-04-04 06:56:00,phone,Payment declined repeatedly,Customer says payment went through on their phone but our dashboard shows failed. PN100157904. They are in the shop now and refusing to pay again.,closed,PN100157904
